CUST_ID|CUST_FIRST_NAME|CUST_LAST_NAME|CUST_GENDER|CUST_YEAR_OF_BIRTH|CUST_MARITAL_STATUS|CUST_STREET_ADDRESS|CUST_POSTAL_CODE|CUST_CITY|CUST_CITY_ID|CUST_STATE_PROVINCE|CUST_STATE_PROVINCE_ID|COUNTRY_ID|CUST_MAIN_PHONE_NUMBER|CUST_INCOME_LEVEL|CUST_CREDIT_LIMIT|CUST_EMAIL|CUST_TOTAL|CUST_TOTAL_ID|CUST_SRC_ID|CUST_EFF_FROM|CUST_EFF_TO|CUST_VALID
49671|Abigail|Ruddy|M|1976|married|27 North Sagadahoc Boulevard|60332|Ede|51442|Gelderland|52610|52770|519-236-6123|G: 130,000 - 149,999|1500|Ruddy@company.com|Customer total|52772||01/01/98||I
3228|Abigail|Ruddy|M|1964||37 West Geneva Street|55406|Hoofddorp|51669|Noord-Holland|52683|52770|327-194-5008|G: 130,000 - 149,999|7000|Ruddy@company.com|Customer total|52772||01/01/98||A
6783|Abigail|Ruddy|M|1942|single|47 Toa Alta Road|34077|Schimmert|52297|Limburg|52646|52770|288-613-9676|G: 130,000 - 149,999|11000|Ruddy@company.com|Customer total|52772||01/01/98||I
10338|Abigail|Ruddy|M|1977|married|47 South Kanabec Road|72996|Scheveningen|52296|Zuid-Holland|52771|52770|222-269-1259|G: 130,000 - 149,999|1500|Ruddy@company.com|Customer total|52772||01/01/98||I
13894|Abigail|Ruddy|M|1949||57 North 3rd Drive|67644|Joinville|51698|Santa Catarina|52734|52775|675-133-2226|G: 130,000 - 149,999|9000|Ruddy@company.com|Customer total|52772||01/01/98||I
17449|Abigail|Ruddy|M|1950|single|67 East Mcintosh Avenue|83786|Nagoya|51971|Aichi|52543|52782|183-207-2933|G: 130,000 - 149,999|9000|Ruddy@company.com|Customer total|52772||01/01/98||A
21005|Abigail|Ruddy|M|1946|married|77 Bradford Avenue|52773|Santos|52293|Sao Paulo|52735|52775|129-379-7148|G: 130,000 - 149,999|3000|Ruddy@company.com|Customer total|52772||01/01/98||I
24561|Abigail|Ruddy|M|1978||77 North Packard Avenue|37400|Yokohama|52526|Kanagawa|52634|52782|689-236-7611|G: 130,000 - 149,999|7000|Ruddy@company.com|Customer total|52772||01/01/98||A
28116|Abigail|Ruddy|M|1949|single|87 West Coshocton Avenue|71349|Haarlem|51644|Noord-Holland|52683|52770|208-194-6025|G: 130,000 - 149,999|11000|Ruddy@company.com|Customer total|52772||01/01/98||I
31671|Abigail|Ruddy|M|1951|married|97 Sagadahoc Avenue|55056|Bolton|51205|England - Greater Manchester|52590|52789|391-613-8000|G: 130,000 - 149,999|1500|Ruddy@company.com|Customer total|52772||01/01/98||I
35227|Abigail|Ruddy|M|1948||97 South Geneva Avenue|81402|Lelystad|51793|Flevopolder|52599|52770|587-269-1680|G: 130,000 - 149,999|9000|Ruddy@company.com|Customer total|52772||01/01/98||I
36117|Abner|Everett|M|1954||107 Covington Avenue|80841|Wolverhampton|52514|England - West Midlands|52593|52789|258-692-7934|K: 250,000 - 299,999|15000|Everett@company.com|Customer total|52772||01/01/98||I
39672|Abner|Everett|M|1975|married|107 North Saguache Avenue|34216|Murnau|51934|Bayern|52561|52776|167-248-1619|K: 250,000 - 299,999|11000|Everett@company.com|Customer total|52772||01/01/98||I
43228|Abner|Everett|M|1957|married|117 West Gloucester Avenue|72059|Los Angeles|51806|CA|52567|52790|620-711-8237|K: 250,000 - 299,999|7000|Everett@company.com|Customer total|52772||01/01/98||I
25470|Abner|Everett|M|1966|single|17 West Mckenzie Court|84773|Stuttgart|52331|Baden-Wuerttemberg|52559|52776|103-711-9009|K: 250,000 - 299,999|15000|Everett@company.com|Customer total|52772||01/01/98||I
47006|Abner|Everett|M|1985||27 East Braxton Boulevard|55787|Montara|51919|CA|52567|52790|454-716-5260|K: 250,000 - 299,999|11000|Everett@company.com|Customer total|52772||01/01/98||I
50561|Abner|Everett|M|1960|married|27 South Page Boulevard|55646|Neuss|51975|Nordrhein-Westfalen|52684|52776|526-349-7669|K: 250,000 - 299,999|7000|Everett@company.com|Customer total|52772||01/01/98||I
4117|Abner|Everett|M|1972|single|37 North Covington Street|91906|Clermont-l'Herault|51329|Languedoc-Roussillon|52645|52779|155-204-1940|K: 250,000 - 299,999|15000|Everett@company.com|Customer total|52772||01/01/98||A
7673|Abner|Everett|M|1988||47 East Saguache Road|68644|Schwaebisch Gmuend|52300|Baden-Wuerttemberg|52559|52776|230-226-8711|K: 250,000 - 299,999|11000|Everett@company.com|Customer total|52772||01/01/98||I
11228|Abner|Everett|M|1956|married|57 Gloucester Drive|51430|Ingolstadt|51680|Bayern|52561|52776|630-692-5246|K: 250,000 - 299,999|7000|Everett@company.com|Customer total|52772||01/01/98||I
14784|Abner|Everett|M|1957||57 North Todd Drive|46413|Belfast City|51175|Northern Ireland - County Antr|52686|52789|361-248-7857|K: 250,000 - 299,999|15000|Everett@company.com|Customer total|52772||01/01/98||I
18339|Abner|Everett|M|1979|married|67 West Kaufman Avenue|66437|Asten|51075|Noord-Brabant|52682|52770|229-711-2551|K: 250,000 - 299,999|11000|Everett@company.com|Customer total|52772||01/01/98||I
12112|Abner|Everett|M|1963|married|7 South 5th Circle|58488|Dolores|51391|CO|52569|52790|570-248-9913|K: 250,000 - 299,999|7000|Everett@company.com|Customer total|52772||01/01/98||I
21894|Abner|Everett|M|1977|married|77 East 5th Avenue|40365|Tralee|52379|Kerry|52637|52772|166-716-4030|K: 250,000 - 299,999|7000|Everett@company.com|Customer total|52772||01/01/98||I
25451|Abner|Everett|M|1955||77 South Mckenzie Avenue|57929|Heilbronn|51656|Baden-Wuerttemberg|52559|52776|650-349-6961|K: 250,000 - 299,999|15000|Everett@company.com|Customer total|52772||01/01/98||I
29006|Abner|Everett|M|1951|single|87 North Braxton Avenue|63627|Keighley|51722|England - West Yorkshire|52594|52789|629-204-7324|K: 250,000 - 299,999|11000|Everett@company.com|Customer total|52772||01/01/98||I
